"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","2.2u","","","","","~"
"C2,C5,C6,C7,C8,C9,C12,C14,C16,C17,C20,C21,C28,C29,C30,C31,C32,C33,C34,C36,C42,C45,C47,C50","24","100n","","","","","~"
"C3,C4","2","10p","","","","","~"
"C10,C39,C51","3","4.7u","","","","","~"
"C11","1","1u","","","","","~"
"C13,C15,C18,C19,C22,C23,C40,C41,C48,C49,C52","11","22u","","","","","~"
"C24,C25,C26,C27","4","47u","","","","","~"
"C35,C37,C46","3","10n","","","","","~"
"C38","1","220n","","","","","~"
"C43,C44","2","22p","","","","","~"
"D1,D2","2","1N5819","","","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88525/1n5817.pdf"
"D3,D4,D5,D6,D7,D8,D10,D11,D12","9","NCD0603R3","","","","","~"
"D9,D14,D15","3","LED,NCD0603R3","","","","","~"
"H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11","11","~","","","","",""
"J1","1","USB_C_Receptacle_USB2.0_16P","","","","","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"L1,L2","2","10u","","","","","~"
"R1,R8,R26,R27,R35,R36,R37,R38,R39","9","10k","","","","","~"
"R2,R3,R4,R5","4","2.2k","","","","","~"
"R6,R7","2","5k1","","","","","~"
"R9,R23,R31,R32,R33,R34","6","1k","","","","","~"
"R10,R22","2","100k","","","","","~"
"R11,R13","2","1M","","","","","~"
"R12,R15","2","20","","","","","~"
"R14","1","100k","","","","Resistor_SMD:R_0603_1608Metric","~"
"R16,R19","2","51k","","","","","~"
"R17,R21","2","41.2k","","","","","~"
"R18","1","7.68k","","","","","~"
"R20","1","4.02","","","","","~"
"R24,R25","2","75","","","","","~"
"R28,R29,R30,R40,R41","5","470","","","","","~"
"R42,R43,R44","3","120","","","","","~"
"R45,R46,R47,R48,R49,R50,R51,R52","8","100","","","","","~"
"SW1,SW2","2","SW_Push_Open","","","","","~"
"U1,U10","2","ME6217C33M5G,STM32H743VITx","","","","Package_QFP:LQFP-100_14x14mm_P0.5mm","https://www.st.com/resource/en/datasheet/stm32h743vi.pdf"
"U2,U3","2","MP9943GQ-Z","","","","",""
"U4","1","SPL06-001","","","","",""
"U5","1","ICM-42688-P","","","","",""
"U6","1","QMC5883L","","","","",""
"U7","1","MPU6500","","","","",""
"U8","1","AT7456E","","","","",""
"U9","1","CSNP1GCR01-BOW","","","","",""
"U11","1","ELRS_RX","","","","",""
"U12","1","wifi_rf","","","","",""
"U13,U14,U15,U16,U17,U18,U19","7","HDGC1002WR-S-4P","","","","",""
"U20,U21","2","HDGC1002WR-S-8P","","","","",""
"U22,U23","2","HDGC1002WR-S-6P","","","","",""
"U36,U37,U38,U39,U40,U41,U42","7","~","","","","",""
"Y1,Y2","2","Crystal","","","","","~"
